"id","date","scheme_name","scheme_type","scheme_category","no_of_schemes","no_of_folios","fund_mobilized","repurchase_redemption","net_inflow_outflow","net_aum","avg_net_aum","no_of_segregated_portfolios","net_aum_in_segregated_portfolios"
144,"01-04-2021","Other Schemes","Interval Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,"01-04-2022","Overnight Fund","Open ended Schemes","Income/Debt Oriented Schemes",30.0,565194.0,358918.94,354790.88,4128.06,107527.71,115814.35,0.0,0.0
146,"01-04-2022","Liquid Fund","Open ended Schemes","Income/Debt Oriented Schemes",37.0,1751319.0,281205.29,252474.3,28730.99,375793.29,401172.36,0.0,0.0
147,"01-04-2022","Ultra Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",27.0,619228.0,30924.13,15834.65,15089.47,103319.54,100231.93,0.0,0.0
148,"01-04-2022","Low Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",22.0,1045333.0,16269.2,14777.29,1491.9,114526.51,117328.88,1.0,0.0
149,"01-04-2022","Money Market Fund","Open ended Schemes","Income/Debt Oriented Schemes",20.0,414834.0,36779.64,20585.9,16193.75,130773.58,126408.12,0.0,0.0
150,"01-04-2022","Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",25.0,569283.0,3895.0,8347.0,-4452.0,111444.94,115062.03,0.0,0.0
151,"01-04-2022","Medium Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",16.0,278064.0,399.46,1762.96,-1363.5,31496.18,32311.75,4.0,130.4
152,"01-04-2022","Medium to Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",13.0,114730.0,151.95,561.72,-409.76,9574.14,9926.55,0.0,0.0
153,"01-04-2022","Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",2.0,24307.0,52.07,25.42,26.64,2517.55,2500.64,0.0,0.0
154,"01-04-2022","Dynamic Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",25.0,230463.0,265.69,462.38,-196.69,25007.5,25079.53,1.0,50.01
155,"01-04-2022","Corporate Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,655144.0,3595.13,6147.9,-2552.76,127297.16,128001.9,0.0,0.0
156,"01-04-2022","Credit Risk Fund","Open ended Schemes","Income/Debt Oriented Schemes",15.0,269097.0,289.47,572.59,-283.12,27444.43,27603.51,4.0,66.25
157,"01-04-2022","Banking and PSU Fund","Open ended Schemes","Income/Debt Oriented Schemes",22.0,327456.0,867.55,3963.83,-3096.28,90239.97,91967.19,0.0,0.0
158,"01-04-2022","Gilt Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,176768.0,529.47,635.84,-106.37,15031.9,15202.2,0.0,0.0
159,"01-04-2022","Gilt Fund with 10 year constant duration","Open ended Schemes","Income/Debt Oriented Schemes",4.0,43980.0,78.63,40.78,37.85,1281.13,1258.64,0.0,0.0
160,"01-04-2022","Floater Fund","Open ended Schemes","Income/Debt Oriented Schemes",12.0,258609.0,9385.01,7866.59,1518.42,82301.2,81439.28,0.0,0.0
161,"01-04-2022","Multi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",14.0,3196257.0,1864.26,523.9,1340.36,55626.81,56094.19,0.0,0.0
162,"01-04-2022","Large Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",31.0,12533497.0,3875.2,2616.24,1258.96,223072.25,227595.61,0.0,0.0
163,"01-04-2022","Large & Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",27.0,6845348.0,3011.66,962.14,2049.52,110943.13,111948.34,0.0,0.0
